Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,460179,56,8217.5,3744.0,3552,37636,10271.2,_M_13671fca_cuda_kernel_forward
0.0,458228,147,3117.2,2113.0,2016,21155,3918.8,update_actuator_state_model_1a46b940_cuda_kernel_forward
0.0,456489,194,2353.0,1600.0,1441,34500,3484.2,_copy_reset_view_rows_kernel_63c01e63_cuda_kernel_forward
0.0,443319,140,3166.6,2784.0,2368,28835,3046.3,mul_m_kernel__locals___mul_m_ff3bc617_cuda_kernel_forward
0.0,428846,56,7658.0,3809.0,3680,35555,8909.5,_cdof_3e73eb78_cuda_kernel_forward
0.0,419218,56,7486.0,3248.0,2784,40612,9954.9,_cinert_1261260c_cuda_kernel_forward
0.0,418663,96,4361.1,3312.5,2912,68647,7057.7,_update_vbd_body_input_state_kernel_f9f4a963_cuda_kernel_forward
0.0,411792,48,8579.0,6337.0,5985,74728,11224.2,_cacc_branch_ffe1d6c4_cuda_kernel_forward
0.0,407886,48,8497.6,2304.5,2145,245658,35802.9,_nxn_broadphase_precomputed_pairs_8be4a3a3_cuda_kernel_forward
0.0,407187,194,2098.9,1568.0,1504,15202,2324.2,_zero_reset_view_rows_kernel_18ddefaa_cuda_kernel_forward
0.0,382243,147,2600.3,1856.0,1664,17858,3174.1,update_targets_acac1b6f_cuda_kernel_forward
0.0,381039,140,2721.7,2497.0,1600,20483,2582.8,_update_gradient_grad__locals__kernel_230cc1c2_cuda_kernel_forward
0.0,361322,56,6452.2,2816.5,2593,36068,8547.2,_geom_local_to_global_e28b714c_cuda_kernel_forward
0.0,359875,252,1428.1,993.0,960,8673,1693.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)2>>(int, T2, T3)"
0.0,354369,56,6328.0,2528.0,2304,45509,9735.3,_compute_body_inertial_frames_d3bdd81a_cuda_kernel_forward
0.0,347142,68,5105.0,1376.5,1120,12641,5053.2,"void cuBQL::sahBuilder_impl::writeNodes<float, (int)3>(cuBQL::BinaryBVH<T1, T2>::Node *, cuBQL::sahBuilder_impl::TempNode<cuBQL::box_t<T1, T2>> *, int)"
0.0,344134,140,2458.1,2048.0,1856,26371,2806.7,_update_constraint_init_qfrc_constraint_dense__locals__kernel_4d31aa3f_cuda_kernel_forward
0.0,338660,100,3386.6,2592.0,2400,29315,4045.6,derive_body_acceleration_from_body_com_velocities_d7161d69_cuda_kernel_forward
0.0,335718,48,6994.1,4384.0,3969,92298,13696.6,_actuator_force_311863ad_cuda_kernel_forward
0.0,335269,48,6984.8,4736.0,4288,113996,15776.4,step_body_body_contact_C0_lambda_7beaf256_cuda_kernel_forward
0.0,318049,144,2208.7,1377.0,1280,17442,3024.7,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,310530,56,5545.2,2576.5,2240,25475,6876.8,_site_local_to_global_084f92a4_cuda_kernel_forward
0.0,307908,68,4528.1,1249.0,1184,11777,4338.4,"wp::compute_mesh_edge_lengths(int, const wp::vec_t<(unsigned int)3, float> *, const int *, float *)"
0.0,300768,68,4423.1,1280.0,1120,10785,4344.2,"wp::cubql_copy_nodes_to_native(const wp::CubqlNode *, int, wp::BVHPackedNodeHalf *, wp::BVHPackedNodeHalf *, int *)"
0.0,293376,48,6112.0,4833.0,4480,64039,8540.2,update_body_velocity_3518c106_cuda_kernel_forward
0.0,291423,13,22417.2,12065.0,7168,53062,15793.9,"array_copy_1d_kernel(void *, const void *, unsigned long long, unsigned long long, const int *, const int *, unsigned long long, unsigned long long)"
0.0,290236,49,5923.2,3840.0,3648,52198,8940.0,convert_warp_coords_to_mj_kernel_87f98e23_cuda_kernel_forward
0.0,289692,155,1869.0,1280.0,1248,12065,2180.5,"array_copy_2d_kernel(void *, const void *, wp::vec_t<(unsigned int)2, unsigned long long>, wp::vec_t<(unsigned int)2, unsigned long long>, wp::vec_t<(unsigned int)2, const int *>, wp::vec_t<(unsigned int)2, const int *>, wp::vec_t<(unsigned int)2, unsigned long long>, unsigned long long)"
0.0,288896,48,6018.7,4513.0,4448,49381,7359.8,_primitive_narrowphase__locals__primitive_narrowphase_fe2d7a83_cuda_kernel_forward
0.0,284637,48,5929.9,4608.5,4288,67175,9029.4,forward_step_rigid_bodies_f7d13c03_cuda_kernel_forward
0.0,280835,68,4129.9,1185.0,1120,9441,3901.5,"wp::compute_triangle_bounds(int, const wp::vec_t<(unsigned int)3, float> *, const int *, wp::vec_t<(unsigned int)3, float> *, wp::vec_t<(unsigned int)3, float> *)"
0.0,279550,48,5824.0,2848.0,2752,144560,20451.4,_scatter_particle_state_mapped_a50d8d96_cuda_kernel_forward
0.0,277669,96,2892.4,2112.0,1952,35876,4240.2,_copy_mapped_body_state_44500f51_cuda_kernel_forward
0.0,275356,48,5736.6,4448.0,1920,21538,3741.1,compute_relative_transforms_kernel_663e1ac2_cuda_kernel_forward
0.0,267866,97,2761.5,2048.0,1856,20898,3367.5,reset_rigid_state_0312466f_cuda_kernel_forward
0.0,266717,68,3922.3,1120.0,1056,10817,3868.3,"void cuBQL::sahBuilder_impl::writePrimsAndLeafOffsets<float, (int)3>(cuBQL::sahBuilder_impl::TempNode<cuBQL::box_t<T1, T2>> *, unsigned int *, cuBQL::gpuBuilder_impl::PrimState *, int)"
0.0,266653,68,3921.4,1120.0,992,10209,3783.0,"wp::cubql_make_boxes(const wp::vec_t<(unsigned int)3, float> *, const wp::vec_t<(unsigned int)3, float> *, cuBQL::box_t<float, (int)3> *, int)"
0.0,263673,48,5493.2,4065.0,3808,71495,9730.2,_scatter_body_state_mapped_697f097c_cuda_kernel_forward
