NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,26,79495,3057.5,1184.0,1120,12929,4005.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,2,78408,39204.0,39204.0,38820,39588,543.1,_transmission_1c4157e8_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,11,76585,6962.3,8545.0,1088,8929,2977.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<bool>, std::array<char *, (unsigned long long)1>>(int, T2, T3)"
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,1,70919,70919.0,70919.0,70919,70919,0.0,update_body_inertia_kernel_f58a19e3_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,2,69928,34964.0,34964.0,34660,35268,429.9,_M_13671fca_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,64,68581,1071.6,1056.0,1056,1152,18.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<char *, (unsigned long long)2>>(int, T2, T3)"
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,2,67655,33827.5,33827.5,31748,35907,2940.9,_tile_cholesky_factorize_block__locals__kernel_7b151490_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,2,65000,32500.0,32500.0,32356,32644,203.6,_cinert_1261260c_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,1,64999,64999.0,64999.0,64999,64999,0.0,update_joint_transforms_kernel_573b834d_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,21,57190,2723.3,2656.0,2592,3232,206.4,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>)::[lambda(char *, const char *, long long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long long, T3)"
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,1,56934,56934.0,56934.0,56934,56934,0.0,"wp::build_hierarchy(int, int *, const int *, const unsigned long long *, int *, const int *, volatile int *, volatile int *, volatile int *, volatile wp::BVHPackedNodeHalf *, volatile wp::BVHPackedNodeHalf *)"
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,2,54983,27491.5,27491.5,26083,28900,1991.9,_site_local_to_global_084f92a4_cuda_kernel_forward
