attempt,optimizer_updates,physical_seed,candidate_mode,noise_seed,requested_noise_rms_m,noise_scale,noise_halvings,inertial_base_fallback,initializer_fallback,candidate_from_previous_rms_m,valid,min_gauss_j,min_center_j,min_center_singular_ratio,energy_before_joule,energy_after_joule,normalized_loss,energy_ratio,descent,gradient_norm,nonzero_gradient_tensors,status,elapsed_seconds
44,44,4,inertial,2551415990,0,0,0,False,False,0.0012574630379416011,True,0.7966944575309753,0.8058828115463257,0.8178266286849976,105.56957244873047,106.71480560302734,0.010848136709590766,1.0108481367095907,False,3.1648974418640137,72,complete,13.282602425664663
45,45,12,inertial,3302239677,0,0,0,False,False,0.0018368115918662024,True,0.8398538827896118,0.8534592986106873,0.7644179463386536,135.4047393798828,138.0334014892578,0.01941336855278156,1.0194133685527815,False,2.7383406162261963,72,complete,13.423625323921442
46,46,15,previous,966324208,0,0,0,False,False,0.0,True,0.935043454170227,0.9468845725059509,0.7996652722358704,191.14125061035156,186.75436401367188,-0.022951019639515263,0.9770489803604847,True,5.51392936706543,72,complete,13.564484473317862
47,47,6,inertial,1915214962,0,0,0,False,False,0.00170503146333251,True,0.8099891543388367,0.8276446461677551,0.7060531377792358,167.4231719970703,163.64439392089844,-0.022570221499793344,0.9774297785002066,True,2.73386549949646,72,complete,13.70475971326232
48,48,5,noisy_inertial,2247164468,0.001297577328293782,1.0,0,False,False,0.0013811967930749563,True,0.8344586491584778,0.8455144166946411,0.8230723142623901,138.91355895996094,134.17320251464844,-0.03412450505770148,0.9658754949422985,True,4.69943380355835,72,complete,13.98640188202262
49,49,11,noisy_inertial,1468359937,0.0008690912585673538,1.0,0,False,False,0.0026616332016312833,True,0.8656886219978333,0.887016236782074,0.7556558847427368,115.13837432861328,112.2168960571289,-0.025373627936992264,0.9746263720630077,True,2.816213369369507,72,complete,14.982683695852757
50,50,6,noisy_inertial,3348283794,0.0011361466257414714,1.0,0,False,False,0.002114046079057135,True,0.8175115585327148,0.826266884803772,0.6915387511253357,178.0705108642578,172.55697631835938,-0.030962647993419724,0.9690373520065803,True,2.424387216567993,72,complete,15.269701577723026
51,51,2,noisy_inertial,4206104468,0.0006566181869048643,1.0,0,False,False,0.0007338191006559555,True,0.8505463600158691,0.8554173111915588,0.8504664301872253,76.85347747802734,78.9319076538086,0.027044061556947503,1.0270440615569476,False,9.155659675598145,72,complete,15.552362222224474
52,52,4,inertial,1279465908,0,0,0,False,False,0.0012574630379416011,True,0.7966944575309753,0.8058828115463257,0.8178266286849976,105.56957244873047,107.3460922241211,0.016827952734708537,1.0168279527347086,False,3.615507125854492,72,complete,15.693205412477255
53,53,3,inertial,3028903154,0,0,0,False,False,0.0020213320456136832,True,0.874739408493042,0.8859620690345764,0.8672968745231628,36.210628509521484,36.67689514160156,0.01287651309221199,1.012876513092212,False,7.229753494262695,72,complete,15.835461508482695
