Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,113803,106,1073.6,1056.0,992,1249,71.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::BitwiseOrFunctor<bool>>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.0,113581,49,2318.0,2177.0,2080,2881,249.8,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float, (bool)1>, unsigned int, float, (int)4, (int)4>>(T3)"
0.0,113259,11,10296.3,10721.0,9089,11137,873.1,repeat_array_kernel_62aa76ac_cuda_kernel_forward
0.0,111595,48,2324.9,1952.0,1920,18722,2417.9,_efc_contact_jac_dense__locals__kernel_506f0133_cuda_kernel_forward
0.0,111373,48,2320.3,1952.0,1824,19010,2461.2,_friction_dof__locals__kernel_b5c3d339_cuda_kernel_forward
0.0,110666,48,2305.5,1984.0,1952,16450,2086.0,_actuator_velocity_00a052f5_cuda_kernel_forward
0.0,108845,40,2721.1,2192.5,1856,19138,2686.7,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::or_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
0.0,108204,6,18034.0,17890.0,17410,19074,563.0,reset_wrench_composer_index_4b6bf2f5_cuda_kernel_forward
0.0,105834,50,2116.7,1760.0,1600,19138,2457.0,get_joint_acc_from_joint_vel_2ab71688_cuda_kernel_forward
0.0,104113,48,2169.0,1728.0,1664,21410,2837.3,sync_proxy_states_kernel_e384b778_cuda_kernel_forward
0.0,102568,28,3663.1,2352.0,1664,26435,5225.6,"void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)2, (int)128, (int)1, (int)16>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.0,102501,48,2135.4,1824.0,1792,15681,1997.3,_qfrc_passive_ccf6028a_cuda_kernel_forward
0.0,101775,48,2120.3,1760.0,1728,18306,2386.6,_efc_contact_init__locals__kernel_97d2cf71_cuda_kernel_forward
0.0,101612,2,50806.0,50806.0,49830,51782,1380.3,update_dof_properties_kernel_c60786a2_cuda_kernel_forward
0.0,101290,48,2110.2,1760.0,1728,17026,2199.5,_next_time_builder__locals___next_time_9e67d474_cuda_kernel_forward
0.0,100809,35,2880.3,1024.0,960,8833,3235.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<bool>, std::array<char *, (unsigned long long)1>>(int, T2, T3)"
0.0,99469,48,2072.3,1728.0,1664,17473,2270.8,apply_mjc_free_joint_f_to_body_f_kernel_376acabe_cuda_kernel_forward
0.0,99372,4,24843.0,25395.0,23043,25539,1202.6,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long long) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,99148,28,3541.0,2128.5,1888,22850,5446.6,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,98125,48,2044.3,2017.0,1920,2240,80.0,compute_relative_transforms_kernel_663e1ac2_cuda_kernel_forward
0.0,97388,5,19477.6,19523.0,13569,27491,5351.5,update_body_properties_kernel_0a57e982_cuda_kernel_forward
0.0,96010,26,3692.7,2208.5,2176,22850,5167.4,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
0.0,93637,48,1950.8,1920.0,1888,2080,61.2,update_velocity_207f84fc_cuda_kernel_forward
0.0,92304,49,1883.8,1569.0,1536,15394,1971.4,update_timestamp_kernel_71be0a73_cuda_kernel_forward
0.0,91692,48,1910.3,1664.0,1600,12866,1616.0,_copy_mapped_vec3_56c22622_cuda_kernel_forward
0.0,91465,15,6097.7,1825.0,1792,51909,13116.5,gather_particles_vec3f_908e2c35_cuda_kernel_forward
0.0,90731,48,1890.2,1568.0,1536,15713,2038.2,_next_activation_4a03322b_cuda_kernel_forward
0.0,87849,42,2091.6,1696.0,1216,18882,2658.0,"void at_cuda_detail::cub::DeviceSelectSweepKernel<at_cuda_detail::cub::detail::device_select_policy_hub<long long, bool, int, (bool)0, (bool)0>::Policy900, at_cuda_detail::cub::CountingInputIterator<long long, long long>, at_cuda_detail::cub::TransformInputIterator<bool, at::native::<unnamed>::NonZeroOp<bool>, const bool *, long long>, long long *, int *, at_cuda_detail::cub::ScanTileState<int, (bool)1>, at_cuda_detail::cub::NullType, at_cuda_detail::cub::NullType, int, (bool)0, (bool)0>(T2, T3, T4, T5, T6, T7, T8, T9, int, at_cuda_detail::cub::detail::vsmem_t)"
0.0,87592,48,1824.8,1552.5,1536,13634,1741.5,_qfrc_bias_4085b6de_cuda_kernel_forward
0.0,87533,48,1823.6,1536.0,1504,14338,1845.3,verify_narrow_phase_buffers_c234c2df_cuda_kernel_forward
